country,field,year,disclosed_investment,estimated_investment,complete,pillar,is_group
Australia,Manufacturing,2020,0.0,6,True,investment,False
Australia,Manufacturing,2021,1.0,402,True,investment,False
Australia,Manufacturing,2022,28.0,36,True,investment,False
Australia,Manufacturing,2023,21.0,38,True,investment,False
Australia,Manufacturing,2024,4.0,4,True,investment,False
Australia,Manufacturing,2025,3.0,3,False,investment,False
Australia,Media and Entertainment,2015,3.0,3,True,investment,False
Australia,Media and Entertainment,2016,5.0,5,True,investment,False
Australia,Media and Entertainment,2017,0.0,2,True,investment,False
Australia,Media and Entertainment,2018,11.0,21,True,investment,False
Australia,Media and Entertainment,2019,35.0,36,True,investment,False
Australia,Media and Entertainment,2020,10.0,11,True,investment,False
Australia,Media and Entertainment,2021,72.0,102,True,investment,False
Australia,Media and Entertainment,2022,9.0,30,True,investment,False
Australia,Media and Entertainment,2023,11.0,118,True,investment,False
Australia,Media and Entertainment,2024,1791.0,1890,True,investment,False
Australia,Media and Entertainment,2025,3.0,33,False,investment,False
Australia,"Military, public safety and government",2016,2.0,2,True,investment,False
Australia,"Military, public safety and government",2018,3.0,3,True,investment,False
Australia,"Military, public safety and government",2020,0.0,0,True,investment,False
Australia,"Military, public safety and government",2021,50.0,50,True,investment,False
Australia,"Military, public safety and government",2022,3.0,3,True,investment,False
Australia,"Military, public safety and government",2024,,0,True,investment,False
Australia,"Military, public safety and government",2025,,15,False,investment,False
Australia,"Mobile, platforms & Internet services",2015,1.0,1,True,investment,False
Australia,"Mobile, platforms & Internet services",2016,3.0,3,True,investment,False
Australia,"Mobile, platforms & Internet services",2017,4.0,5,True,investment,False
Australia,"Mobile, platforms & Internet services",2018,12.0,22,True,investment,False
Australia,"Mobile, platforms & Internet services",2019,7.0,12,True,investment,False
Australia,"Mobile, platforms & Internet services",2020,36.0,110,True,investment,False
Australia,"Mobile, platforms & Internet services",2021,12.0,435,True,investment,False
Australia,"Mobile, platforms & Internet services",2022,230.0,247,True,investment,False
Australia,"Mobile, platforms & Internet services",2023,54.0,148,True,investment,False
Australia,"Mobile, platforms & Internet services",2024,7.0,101,True,investment,False
Australia,"Mobile, platforms & Internet services",2025,198.0,199,False,investment,False
Australia,NLP,2015,1.0,1,True,investment,False
Australia,NLP,2016,1.0,1,True,investment,False
Australia,NLP,2017,0.0,0,True,investment,False
Australia,NLP,2018,7.0,7,True,investment,False
Australia,NLP,2019,0.0,1,True,investment,False
Australia,NLP,2020,,2,True,investment,False
Australia,NLP,2021,1.0,1,True,investment,False
Australia,NLP,2022,3.0,8,True,investment,False
Australia,NLP,2023,0.0,0,True,investment,False
Australia,Navigation and mapping,2017,1.0,2,True,investment,False
Australia,Navigation and mapping,2018,3.0,4,True,investment,False
Australia,Navigation and mapping,2019,6.0,7,True,investment,False
Australia,Navigation and mapping,2020,0.0,38,True,investment,False
Australia,Navigation and mapping,2021,10.0,10,True,investment,False
Australia,Navigation and mapping,2022,18.0,19,True,investment,False
Australia,Navigation and mapping,2023,9.0,10,True,investment,False
Australia,Navigation and mapping,2024,6.0,6,True,investment,False
Australia,Navigation and mapping,2025,3.0,3,False,investment,False
Australia,Other,2015,3.0,3,True,investment,False
Australia,Other,2016,15.0,15,True,investment,False
Australia,Other,2017,3.0,5,True,investment,False
Australia,Other,2018,0.0,0,True,investment,False
Australia,Other,2019,1.0,24,True,investment,False
Australia,Other,2020,2.0,44,True,investment,False
Australia,Other,2021,5.0,22,True,investment,False
Australia,Other,2022,24.0,55,True,investment,False
Australia,Other,2023,5.0,59,True,investment,False
Australia,Other,2024,5.0,9,True,investment,False
Australia,Other,2025,12.0,74,False,investment,False
Australia,Privacy and Security,2015,0.0,0,True,investment,False
Australia,Privacy and Security,2016,3.0,3,True,investment,False
Australia,Privacy and Security,2017,0.0,0,True,investment,False
Australia,Privacy and Security,2018,3.0,3,True,investment,False
Australia,Privacy and Security,2019,2.0,2,True,investment,False
Australia,Privacy and Security,2020,1.0,11,True,investment,False
Australia,Privacy and Security,2021,50.0,50,True,investment,False
Australia,Privacy and Security,2022,3.0,17,True,investment,False
Australia,Privacy and Security,2023,5.0,6,True,investment,False
Australia,Privacy and Security,2024,1.0,4,True,investment,False
Australia,Privacy and Security,2025,67.0,83,False,investment,False
Australia,Professional services,2015,0.0,0,True,investment,False
Australia,Professional services,2016,1.0,1,True,investment,False
Australia,Professional services,2017,3.0,3,True,investment,False
Australia,Professional services,2018,8.0,123,True,investment,False
Australia,Professional services,2019,2.0,46,True,investment,False
Australia,Professional services,2020,0.0,25,True,investment,False
Australia,Professional services,2021,535.0,786,True,investment,False
Australia,Professional services,2022,10.0,31,True,investment,False
Australia,Professional services,2023,2.0,116,True,investment,False
Australia,Professional services,2024,23.0,167,True,investment,False
Australia,Professional services,2025,37.0,99,False,investment,False
Australia,Real estate,2015,4.0,4,True,investment,False
Australia,Real estate,2016,16.0,16,True,investment,False
Australia,Real estate,2017,5.0,6,True,investment,False
Australia,Real estate,2018,4.0,119,True,investment,False
Australia,Real estate,2019,,23,True,investment,False
Australia,Real estate,2020,5.0,12,True,investment,False
Australia,Real estate,2021,21.0,26,True,investment,False
Australia,Real estate,2022,18.0,47,True,investment,False
Australia,Real estate,2023,1.0,1,True,investment,False
Australia,Real estate,2024,3.0,47,True,investment,False
Australia,Real estate,2025,1.0,1,False,investment,False
Australia,Robotics,2016,0.0,0,True,investment,False
Australia,Robotics,2017,2.0,2,True,investment,False
Australia,Robotics,2018,0.0,0,True,investment,False
Australia,Robotics,2019,4.0,27,True,investment,False
Australia,Robotics,2020,0.0,0,True,investment,False
Australia,Robotics,2021,1.0,1,True,investment,False
Australia,Robotics,2022,17.0,21,True,investment,False
Australia,Robotics,2023,7.0,18,True,investment,False
Australia,Robotics,2024,2.0,2,True,investment,False
Australia,Robotics,2025,2.0,2,False,investment,False
Australia,"Sales, retail, commerce, marketing",2015,5.0,5,True,investment,False
Australia,"Sales, retail, commerce, marketing",2016,26.0,26,True,investment,False
Australia,"Sales, retail, commerce, marketing",2017,2.0,3,True,investment,False
Australia,"Sales, retail, commerce, marketing",2018,3.0,3,True,investment,False
Australia,"Sales, retail, commerce, marketing",2019,3.0,3,True,investment,False
